"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","20","Awaiting availability of residential children's home (non-secure)","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","21","Awaiting availability of secure children's home (welfare or non-welfare)","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","10"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","22","Awaiting availability of placement in Youth Offender Institution","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","23","Child or young person awaiting foster placement","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","24","Awaiting Ministry of Justice agreement to proposed placement","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","25","Awaiting outcome of legal proceedings under relevant Mental Health legislation","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","26","Awaiting Court of Protection proceedings","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","27","Awaiting Deprivation of Liberty Safeguards (DOLS) Application","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","28","Delay due to consideration of specific court judgements","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","29","Awaiting residential special school or college placement","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
