"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/04/2026","30/04/2026","Performance","Provider of Responsibility","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","35"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","10R","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS78","Discharges from adult acute beds eligible for 72 hour follow up in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","10R","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","11J","NHS DORSET ICB - 11J","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS78","Discharges from adult acute beds eligible for 72 hour follow up in the reporting period","40"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","11J","NHS DORSET ICB - 11J","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","30"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","91Q","NHS KENT AND MEDWAY ICB - 91Q","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS78","Discharges from adult acute beds eligible for 72 hour follow up in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","91Q","NHS KENT AND MEDWAY ICB - 91Q","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","97R","NHS SURREY AND SUSSEX ICB - 97R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS78","Discharges from adult acute beds eligible for 72 hour follow up in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","97R","NHS SURREY AND SUSSEX ICB - 97R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","A3A8R","NHS NORTH EAST LONDON ICB - A3A8R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS78","Discharges from adult acute beds eligible for 72 hour follow up in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","A3A8R","NHS NORTH EAST LONDON ICB - A3A8R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","D9Y0V","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS78","Discharges from adult acute beds eligible for 72 hour follow up in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider of Responsibility","D9Y0V","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS79","Discharges from adult acute beds followed up within 72 hours in the reporting period","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS32","Referrals starting in RP","3505"
"01/02/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS32","New referrals","11185"
