"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","B","Irish","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","C","Any Other White background","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","C","Any Other White background","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","145"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","C","Any Other White background","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","C","Any Other White background","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","D","White and Black Caribbean","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","D","White and Black Caribbean","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","D","White and Black Caribbean","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","D","White and Black Caribbean","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","E","White and Black African","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","E","White and Black African","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","E","White and Black African","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","E","White and Black African","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","F","White and Asian","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","F","White and Asian","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","F","White and Asian","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","F","White and Asian","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","G","Any Other mixed background","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
