"Reporting_Period","Status","Reporting_Level","Provider_Code","Provider_Name","DQ_Measure","DQ_Measure_Name","DQ_Result","DQ_Dataset_Metric_ID","Unit","Value"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM19","Primary Reason for Referral (Mental Health) (Referral received on or after 1st Jan 2016)","Invalid","3.19.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM55","Specialised mental health service code - Ward Stay","Invalid","3.55.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM57","Organisation Identifier (code of specialised responsible commissioner) - Referral","Valid","3.57.1","Count","70"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM52","Estimated discharge date","Valid","3.52.1","Count","240"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM82","Gender Identity Same At Birth Indicator Code","Valid","3.82.1","Percentage","5"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM42","Care plan type","Invalid","3.42.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM61","Organisation Identifier (code of specialised responsible commissioner) - Hospital Provider Spell Commissioner Assignment Period","Invalid","3.61.4","Percentage","18"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM38","Clinically ready for discharge delay reason","Other","3.38.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM70","Destination Of Discharge (Hospital Provider Spell)","Invalid","3.70.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM06","General Medical Practice Code (Patient Registration)","Other","3.6.2","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM61","Organisation Identifier (code of specialised responsible commissioner) - Hospital Provider Spell Commissioner Assignment Period","Default","3.61.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM66","Disibility Code","Other","3.66.2","Count","105"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM12","Referral request received time (Hour)","Integrity","7.12","Count","8210"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM80","Locked Ward Indicator","Missing","3.80.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM18","Mental Health Act - Start time (Midday)","Integrity","7.18","Count","15"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM65","Employment Status","Valid","3.65.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM72","Restrictive Intervention Reason","Invalid","3.72.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM20","Clinical Response Priority Type","Valid","3.20.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM07","Onward referral time (Midnight)","Integrity","7.7","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM06","Onward referral time (Hour)","Integrity","7.6","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM72","Restrictive Intervention Reason","Missing","3.72.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM76","Intended Age Group (Mental Health)","Other","3.76.2","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM09","Organisation Site Identifier (Of Treatment)","Missing","3.9.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM16","Organisation Identifier (Of Commissioner) - Hospital Provider Spell Commissioner","Default","3.16.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM57","Organisation Identifier (code of specialised responsible commissioner) - Referral","Valid","3.57.1","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM56","Delayed discharge; Local Authority of responsibility","Missing","3.56.5","Percentage","16"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM09","Indirect activity time (Midnight)","Integrity","7.9","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM56","Delayed discharge; Local Authority of responsibility","Valid","3.56.1","Percentage","81"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM06","General Medical Practice Code (Patient Registration)","Valid","3.6.1","Count","23540"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM69","Admission Source (Mental Health Provider Spell)","Default","3.69.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM03","Person Birth Date","Valid","3.3.1","Count","23865"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM70","Destination Of Discharge (Hospital Provider Spell)","Invalid","3.70.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM13","Organisation Identifier (Of Commissioner) - Contact","Invalid","3.13.4","Count","60"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM59","Organisation Identifier (code of specialised responsible commissioner) - Indirect Activity","Missing","3.59.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM34","Source of Referral","Missing","3.34.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM74","Restrictive Intervention Type","Missing","3.74.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM69","Admission Source (Mental Health Provider Spell)","Valid","3.69.1","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM76","Intended Age Group (Mental Health)","Invalid","3.76.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM03","Person Birth Date","Invalid","3.3.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM52","Estimated discharge date","Invalid","3.52.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM07","Mental Health Act Legal Status Classification Code","Invalid","3.7.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM65","Employment Status","Missing","3.65.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM46","Primary Diagnosis date","Valid","3.46.1","Count","2170"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Missing","3.64.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM74","Restrictive Intervention Type","Invalid","3.74.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM16","Organisation Identifier (Of Commissioner) - Hospital Provider Spell Commissioner","Invalid","3.16.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM79","Ward Security Level","Invalid","3.79.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM19","Mental Health Act - Start time (Hour)","Integrity","7.19","Percentage","35"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM05","Care contact time (Midnight)","Integrity","7.5","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM66","Disibility Code","Invalid","3.66.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM67","Decided to Admit Date","Missing","3.67.5","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM65","Employment Status","Invalid","3.65.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM18","Mental Health Act - Start time (Midday)","Integrity","7.18","Percentage","4"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM16","Organisation Identifier (Of Commissioner) - Hospital Provider Spell Commissioner","Valid","3.16.1","Count","40"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM04","Person Stated Gender Code","Default","3.4.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM58","Organisation Identifier (code of specialised responsible commissioner) - Care Contact","Invalid","3.58.4","Count","31240"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM18","Service Or Team Type Referred To (Mental Health)","Other","3.18.2","Count","210"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM67","Decided to Admit Date","Missing","3.67.5","Count","240"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM58","Organisation Identifier (code of specialised responsible commissioner) - Care Contact","Missing","3.58.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM03","Coded Procedure (SNOMED Stop Clock for ED)","Integrity","7.3","Percentage","27"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM74","Restrictive Intervention Type","Invalid","3.74.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM12","Organisation Identifier (Of Commissioner) - Referral","Default","3.12.3","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM61","Organisation Identifier (code of specialised responsible commissioner) - Hospital Provider Spell Commissioner Assignment Period","Missing","3.61.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM39","Clinically Ready for Discharge Period attributable to","Missing","3.39.5","Count","5"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM78","Intended Clinical Care Intensity Code (Mental Health)","Invalid","3.78.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM20","Clinical Response Priority Type","Invalid","3.20.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM09","Organisation Site Identifier (Of Treatment)","Other","3.9.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM79","Ward Security Level","Missing","3.79.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM81","Gender Identity Code","Invalid","3.81.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM01","NHS Number","Missing","3.1.5","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM32","Referred out of area reason (adult acute mental health)","Default","3.32.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM33","Ex-British armed forces indicator","Invalid","3.33.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM17","Mental Health Act - Start time (Midnight)","Integrity","7.17","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM47","Secondary Diagnosis date","Missing","3.47.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM59","Organisation Identifier (code of specialised responsible commissioner) - Indirect Activity","Default","3.59.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM13","Referral request received time (Midnight)","Integrity","7.13","Count","1780"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM16","Organisation Identifier (Of Commissioner) - Hospital Provider Spell Commissioner","Invalid","3.16.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM37","Activity location type code","Other","3.37.2","Count","6750"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM53","Specialised mental health service code - Referral","Invalid","3.53.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM69","Admission Source (Mental Health Provider Spell)","Invalid","3.69.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM16","Mental Health Act - Ethnicity recording","Integrity","7.16","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM01","NHS Number","Valid","3.1.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM71","Start Time (Restrictive Intervention Incident)","Valid","3.71.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM07","Mental Health Act Legal Status Classification Code","Invalid","3.7.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM19","Primary Reason for Referral (Mental Health) (Referral received on or after 1st Jan 2016)","Missing","3.19.5","Percentage","32"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM52","Estimated discharge date","Invalid","3.52.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM01","Referrals to CYP-MH services starting in RP","Integrity","7.1","Percentage","84"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM31","Mental Health Admitted Patient Classification Type","Invalid","3.31.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM54","Specialised mental health service code - Contact","Valid","3.54.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM07","Onward referral time (Midnight)","Integrity","7.7","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM80","Locked Ward Indicator","Invalid","3.80.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM35","Consultation Mechanism (Mental Health)","Missing","3.35.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM73","Start Time (Restrictive Intervention Type)","Missing","3.73.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Invalid","3.64.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM19","Primary Reason for Referral (Mental Health) (Referral received on or after 1st Jan 2016)","Missing","3.19.5","Count","8710"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM06","General Medical Practice Code (Patient Registration)","Invalid","3.6.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM08","Treatment Function Code (Mental Health)","Missing","3.8.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM48","Attended or did not attend","Invalid","3.48.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM82","Gender Identity Same At Birth Indicator Code","Invalid","3.82.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM20","Clinical Response Priority Type","Invalid","3.20.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM05","Ethnic Category Code","Valid","3.5.1","Count","22330"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM77","Sex Of Patients Code (Mental Health)","Other","3.77.2","Count","135"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM33","Ex-British armed forces indicator","Default","3.33.3","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM55","Specialised mental health service code - Ward Stay","Valid","3.55.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM58","Organisation Identifier (code of specialised responsible commissioner) - Care Contact","Missing","3.58.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM13","Organisation Identifier (Of Commissioner) - Contact","Valid","3.13.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM58","Organisation Identifier (code of specialised responsible commissioner) - Care Contact","Invalid","3.58.4","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM16","Organisation Identifier (Of Commissioner) - Hospital Provider Spell Commissioner","Other","3.16.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM77","Sex Of Patients Code (Mental Health)","Valid","3.77.1","Count","125"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM37","Activity location type code","Missing","3.37.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM67","Decided to Admit Date","Valid","3.67.1","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM15","Service discharge time (Midnight)","Integrity","7.15","Percentage","1"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM13","Organisation Identifier (Of Commissioner) - Contact","Other","3.13.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM18","Service Or Team Type Referred To (Mental Health)","Invalid","3.18.4","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM78","Intended Clinical Care Intensity Code (Mental Health)","Invalid","3.78.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM47","Secondary Diagnosis date","Valid","3.47.1","Count","1620"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM82","Gender Identity Same At Birth Indicator Code","Missing","3.82.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM14","Organisation Identifier (Of Commissioner) - Indirect Activity","Missing","3.14.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM39","Clinically Ready for Discharge Period attributable to","Valid","3.39.1","Percentage","87"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM72","Restrictive Intervention Reason","Default","3.72.3","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM66","Disibility Code","Valid","3.66.1","Percentage","90"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM76","Intended Age Group (Mental Health)","Other","3.76.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Other","3.64.2","Percentage","2"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM72","Restrictive Intervention Reason","Missing","3.72.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM59","Organisation Identifier (code of specialised responsible commissioner) - Indirect Activity","Missing","3.59.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM59","Organisation Identifier (code of specialised responsible commissioner) - Indirect Activity","Valid","3.59.1","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM48","Attended or did not attend","Valid","3.48.1","Percentage","87"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM81","Gender Identity Code","Other","3.81.2","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM14","Organisation Identifier (Of Commissioner) - Indirect Activity","Default","3.14.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM38","Clinically ready for discharge delay reason","Missing","3.38.5","Count","5"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM14","Organisation Identifier (Of Commissioner) - Indirect Activity","Valid","3.14.1","Count","1620"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM06","General Medical Practice Code (Patient Registration)","Invalid","3.6.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM04","Person Stated Gender Code","Valid","3.4.1","Count","23855"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM61","Organisation Identifier (code of specialised responsible commissioner) - Hospital Provider Spell Commissioner Assignment Period","Valid","3.61.1","Count","30"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Valid","3.64.1","Count","7890"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM47","Secondary Diagnosis date","Invalid","3.47.4","Percentage","18"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM18","Service Or Team Type Referred To (Mental Health)","Valid","3.18.1","Percentage","99"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM81","Gender Identity Code","Valid","3.81.1","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM04","Person Stated Gender Code","Invalid","3.4.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM39","Clinically Ready for Discharge Period attributable to","Invalid","3.39.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM35","Consultation Mechanism (Mental Health)","Valid","3.35.1","Count","21285"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM14","Organisation Identifier (Of Commissioner) - Indirect Activity","Missing","3.14.5","Count","*"
