"Reporting_Period","Status","Reporting_Level","Provider_Code","Provider_Name","DQ_Measure","DQ_Measure_Name","DQ_Result","DQ_Dataset_Metric_ID","Unit","Value"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM05","Ethnic Category Code","Other","3.5.2","Percentage","3"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM06","General Medical Practice Code (Patient Registration)","Valid","3.6.1","Percentage","99"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM69","Admission Source (Mental Health Provider Spell)","Default","3.69.3","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM11","Care Professional Service or Team Type Association (Mental Health)","Missing","3.11.5","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM82","Gender Identity Same At Birth Indicator Code","Invalid","3.82.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM03","Person Birth Date","Valid","3.3.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM33","Ex-British armed forces indicator","Valid","3.33.1","Percentage","7"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM70","Destination Of Discharge (Hospital Provider Spell)","Missing","3.70.5","Count","50"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM48","Attended or did not attend","Invalid","3.48.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM13","Organisation Identifier (Of Commissioner) - Contact","Valid","3.13.1","Count","31245"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM32","Referred out of area reason (adult acute mental health)","Valid","3.32.1","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM07","Mental Health Act Legal Status Classification Code","Default","3.7.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM04","Person Stated Gender Code","Invalid","3.4.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM72","Restrictive Intervention Reason","Invalid","3.72.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM01","Referrals to CYP-MH services starting in RP","Integrity","7.1","Count","630"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM16","Mental Health Act - Ethnicity recording","Integrity","7.16","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM82","Gender Identity Same At Birth Indicator Code","Valid","3.82.1","Count","1180"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM32","Referred out of area reason (adult acute mental health)","Invalid","3.32.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM37","Activity location type code","Invalid","3.37.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Invalid","3.64.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM73","Start Time (Restrictive Intervention Type)","Valid","3.73.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM66","Disibility Code","Valid","3.66.1","Count","930"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM70","Destination Of Discharge (Hospital Provider Spell)","Valid","3.70.1","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM81","Gender Identity Code","Missing","3.81.5","Count","23870"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM05","Ethnic Category Code","Missing","3.5.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM07","Mental Health Act Legal Status Classification Code","Other","3.7.2","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM39","Clinically Ready for Discharge Period attributable to","Missing","3.39.5","Percentage","13"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM76","Intended Age Group (Mental Health)","Missing","3.76.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM14","Organisation Identifier (Of Commissioner) - Indirect Activity","Default","3.14.3","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM79","Ward Security Level","Valid","3.79.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM38","Clinically ready for discharge delay reason","Missing","3.38.5","Percentage","13"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM53","Specialised mental health service code - Referral","Valid","3.53.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM66","Disibility Code","Missing","3.66.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM04","Person Stated Gender Code","Missing","3.4.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM82","Gender Identity Same At Birth Indicator Code","Missing","3.82.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM68","Decided to Admit Time","Valid","3.68.1","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM11","Care Professional Service or Team Type Association (Mental Health)","Missing","3.11.5","Count","35"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM61","Organisation Identifier (code of specialised responsible commissioner) - Hospital Provider Spell Commissioner Assignment Period","Invalid","3.61.4","Count","5"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM38","Clinically ready for discharge delay reason","Valid","3.38.1","Count","40"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Other","3.64.2","Count","155"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM05","Ethnic Category Code","Default","3.5.3","Count","855"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM56","Delayed discharge; Local Authority of responsibility","Invalid","3.56.4","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM70","Destination Of Discharge (Hospital Provider Spell)","Default","3.70.3","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM19","Primary Reason for Referral (Mental Health) (Referral received on or after 1st Jan 2016)","Valid","3.19.1","Percentage","68"
