Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
RY5,Mental Illness,0,30/06/2012
RY8,Mental Illness,72.010989,30/06/2012
R1A,Mental Illness,177.021978,30/06/2012
R1E,Mental Illness,0,30/06/2012
RBK,Mental Illness,0,30/06/2012
RP7,Mental Illness,245,30/06/2012
RT5,Mental Illness,416,30/06/2012
RTG,Mental Illness,0,30/06/2012
RWD,Mental Illness,0,30/06/2012
RWE,Mental Illness,0,30/06/2012
RX1,Mental Illness,0,30/06/2012
RFS,Mental Illness,0,30/06/2012
RHA,Mental Illness,1023.241758,30/06/2012
RK5,Mental Illness,0,30/06/2012
RNQ,Mental Illness,0,30/06/2012
RNS,Mental Illness,0,30/06/2012
RP1,Mental Illness,218.417582,30/06/2012
RXE,Mental Illness,264,30/06/2012
RXF,Mental Illness,0,30/06/2012
RXG,Mental Illness,466.417582,30/06/2012
RY6,Mental Illness,8,30/06/2012
TAD,Mental Illness,203,30/06/2012
TAH,Mental Illness,251,30/06/2012
RJL,Mental Illness,0,30/06/2012
RP5,Mental Illness,0,30/06/2012
RR8,Mental Illness,0,30/06/2012
RV9,Mental Illness,222.395604,30/06/2012
RWA,Mental Illness,0,30/06/2012
RWY,Mental Illness,0,30/06/2012
RCF,Mental Illness,0,30/06/2012
RCU,Mental Illness,26.857143,30/06/2012
RFF,Mental Illness,0,30/06/2012
RFR,Mental Illness,0,30/06/2012
RGD,Mental Illness,520.340659,30/06/2012
RHQ,Mental Illness,0,30/06/2012
RXV,Mental Illness,606.659341,30/06/2012
TAE,Mental Illness,248,30/06/2012
RAE,Mental Illness,0,30/06/2012
RCB,Mental Illness,0,30/06/2012
RCC,Mental Illness,0,30/06/2012
RCD,Mental Illness,0,30/06/2012
RWJ,Mental Illness,0,30/06/2012
RWW,Mental Illness,0,30/06/2012
RXA,Mental Illness,311.164835,30/06/2012
RXL,Mental Illness,0,30/06/2012
RXN,Mental Illness,0,30/06/2012
RXR,Mental Illness,0,30/06/2012
RTX,Mental Illness,0,30/06/2012
RVY,Mental Illness,0,30/06/2012
RW3,Mental Illness,10,30/06/2012
RW4,Mental Illness,418,30/06/2012
RW5,Mental Illness,572,30/06/2012
RW6,Mental Illness,0,30/06/2012
RNL,Mental Illness,0,30/06/2012
RNN,Mental Illness,131.692308,30/06/2012
RQ6,Mental Illness,0,30/06/2012
RRF,Mental Illness,0,30/06/2012
RT2,Mental Illness,496,30/06/2012
RTV,Mental Illness,300,30/06/2012
RJR,Mental Illness,0,30/06/2012
RJX,Mental Illness,0,30/06/2012
RM2,Mental Illness,0,30/06/2012
RM3,Mental Illness,0,30/06/2012
RMC,Mental Illness,0,30/06/2012
RMP,Mental Illness,0,30/06/2012
RBV,Mental Illness,0,30/06/2012
REM,Mental Illness,0,30/06/2012
REN,Mental Illness,0,30/06/2012
REP,Mental Illness,0,30/06/2012
RET,Mental Illness,0,30/06/2012
RJN,Mental Illness,0,30/06/2012
RXP,Mental Illness,0,30/06/2012
RBL,Mental Illness,0,30/06/2012
RBN,Mental Illness,0,30/06/2012
RBQ,Mental Illness,0,30/06/2012
RBS,Mental Illness,4.010989,30/06/2012
RBT,Mental Illness,0,30/06/2012
RTD,Mental Illness,0,30/06/2012
RTF,Mental Illness,75,30/06/2012
RTR,Mental Illness,0,30/06/2012
RVW,Mental Illness,0,30/06/2012
RX3,Mental Illness,729.494505,30/06/2012
RX4,Mental Illness,986.89011,30/06/2012
RVJ,Maternity,64,30/06/2012
RVN,Maternity,0,30/06/2012
RWV,Maternity,0,30/06/2012
RE9,Mental Illness,0,30/06/2012
RLN,Mental Illness,0,30/06/2012
RR7,Mental Illness,37,30/06/2012
RJ8,Maternity,0,30/06/2012
RK9,Maternity,63,30/06/2012
RN3,Maternity,84,30/06/2012
RNZ,Maternity,24,30/06/2012
RTE,Maternity,46,30/06/2012
RTQ,Maternity,0,30/06/2012
RD3,Maternity,39,30/06/2012
RDY,Maternity,0,30/06/2012
RDZ,Maternity,16.813187,30/06/2012
REF,Maternity,52.142857,30/06/2012
RH5,Maternity,0,30/06/2012
RH8,Maternity,43,30/06/2012
RA9,Maternity,28,30/06/2012
RBA,Maternity,50.43956,30/06/2012
R1C,General & Acute,77.076087,30/09/2020
R1F,General & Acute,253.271739,30/09/2020
RA2,General & Acute,373.51087,30/09/2020
RDU,General & Acute,1060.336957,30/09/2020
RHM,General & Acute,1106.195652,30/09/2020
RHU,General & Acute,998.032609,30/09/2020
RXY,Maternity,0,30/09/2020
RYR,Maternity,59.347826,30/09/2020
R1A,Maternity,0,30/09/2020
RBK,Maternity,25.532609,30/09/2020
RFS,Maternity,34,30/09/2020
RHA,Maternity,0,30/09/2020
RWX,Maternity,0,30/09/2020
RX2,Maternity,0,30/09/2020
RXC,Maternity,24.728261,30/09/2020
RXH,Maternity,70.228261,30/09/2020
RXQ,Maternity,56.380435,30/09/2020
RXX,Maternity,0,30/09/2020
RTH,Maternity,86,30/09/2020
RTK,Maternity,52.423913,30/09/2020
RTP,Maternity,41.641304,30/09/2020
RVV,Maternity,50,30/09/2020
RW1,Maternity,0,30/09/2020
RWF,Maternity,43,30/09/2020
RN5,Maternity,81.021739,30/09/2020
RN7,Maternity,36,30/09/2020
RNU,Maternity,0,30/09/2020
RPA,Maternity,45.5,30/09/2020
RPC,Maternity,0,30/09/2020
RPG,Maternity,0,30/09/2020
R1F,Maternity,16,30/09/2020
RA2,Maternity,50,30/09/2020
RDU,Maternity,73.847826,30/09/2020
RHM,Maternity,62.48913,30/09/2020
RHU,Maternity,46.48913,30/09/2020
RHW,Maternity,55.23913,30/09/2020
RTE,Maternity,46,30/09/2020
RTQ,Maternity,0,30/09/2020
RVJ,Maternity,55,30/09/2020
RVN,Maternity,0,30/09/2020
RWV,Maternity,0,30/09/2020
R1C,Maternity,0,30/09/2020
RH5,Maternity,39,30/09/2020
RH8,Maternity,48,30/09/2020
RJ8,Maternity,0,30/09/2020
RK9,Maternity,57.782609,30/09/2020
RN3,Maternity,30,30/09/2020
RNZ,Maternity,24,30/09/2020
RBZ,Maternity,12.858696,30/09/2020
RD1,Maternity,24.815217,30/09/2020
RD3,Maternity,60,30/09/2020
RDY,Maternity,0,30/09/2020
RDZ,Maternity,0,30/09/2020
REF,Maternity,50.521739,30/09/2020
RYX,Maternity,0,30/09/2020
TAF,Maternity,0,30/09/2020
RA4,Maternity,24,30/09/2020
RA7,Maternity,72.01087,30/09/2020
RA9,Maternity,20,30/09/2020
RBD,Maternity,32,30/09/2020
RRV,Maternity,82.891304,30/09/2020
RT3,Maternity,0,30/09/2020
RV3,Maternity,0,30/09/2020
RVR,Maternity,95,30/09/2020
RWK,Maternity,0,30/09/2020
RYJ,Maternity,142.695652,30/09/2020
RP6,Maternity,0,30/09/2020
RPY,Maternity,0,30/09/2020
RQM,Maternity,128.630435,30/09/2020
RQX,Maternity,41,30/09/2020
RQY,Maternity,0,30/09/2020
RRP,Maternity,0,30/09/2020
RJ6,Maternity,61,30/09/2020
RJ7,Maternity,67,30/09/2020
RJZ,Maternity,118.771739,30/09/2020
RKE,Maternity,54,30/09/2020
RKL,Maternity,0,30/09/2020
RP4,Maternity,0,30/09/2020
RAS,Maternity,71,30/09/2020
RAT,Maternity,0,30/09/2020
RAX,Maternity,55,30/09/2020
RF4,Maternity,62,30/09/2020
RJ1,Maternity,98,30/09/2020
RJ2,Maternity,94,30/09/2020
TAH,Learning Disabilities,7,30/09/2020
R1H,Maternity,180.065217,30/09/2020
R1K,Maternity,68,30/09/2020
RAL,Maternity,83,30/09/2020
RAN,Maternity,0,30/09/2020
RAP,Maternity,39.521739,30/09/2020
RXE,Learning Disabilities,0,30/09/2020
RXF,Learning Disabilities,0,30/09/2020
RXG,Learning Disabilities,24,30/09/2020
RXP,Learning Disabilities,0,30/09/2020
RY6,Learning Disabilities,0,30/09/2020
TAD,Learning Disabilities,6,30/09/2020
RV9,Learning Disabilities,14,30/09/2020
RVW,Learning Disabilities,0,30/09/2020
RWA,Learning Disabilities,0,30/09/2020
RWY,Learning Disabilities,0,30/09/2020
RX3,Learning Disabilities,113.902174,30/09/2020
RX4,Learning Disabilities,102,30/09/2020
RP5,Learning Disabilities,0,30/09/2020
RR7,Learning Disabilities,0,30/09/2020
RR8,Learning Disabilities,0,30/09/2020
RTD,Learning Disabilities,0,30/09/2020
RTF,Learning Disabilities,0,30/09/2020
RTR,Learning Disabilities,0,30/09/2020
RFF,Learning Disabilities,0,30/09/2020
RFR,Learning Disabilities,0,30/09/2020
RGD,Learning Disabilities,8.543478,30/09/2020
RHQ,Learning Disabilities,0,30/09/2020
RJL,Learning Disabilities,0,30/09/2020
RNN,Learning Disabilities,0,30/09/2020
R0B,Learning Disabilities,0,30/09/2020
RAE,Learning Disabilities,0,30/09/2020
RCB,Learning Disabilities,0,30/09/2020
RCD,Learning Disabilities,0,30/09/2020
RCF,Learning Disabilities,0,30/09/2020
RCU,Learning Disabilities,0,30/09/2020
RTQ,General & Acute,0,30/09/2020
RVJ,General & Acute,802.836957,30/09/2020
RVN,General & Acute,0,30/09/2020
RWV,General & Acute,0,30/09/2020
RXN,Learning Disabilities,0,30/09/2020
RXR,Learning Disabilities,0,30/09/2020
RH8,General & Acute,781.184783,30/09/2020
RJ8,General & Acute,71.923913,30/09/2020
RK9,General & Acute,832.130435,30/09/2020
RN3,General & Acute,539.119565,30/09/2020
RNZ,General & Acute,421.25,30/09/2020
RTE,General & Acute,813.097826,30/09/2020
